t_s,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.046,0.612721,-0.988081,0.37536,-0.0243992,0.109796,-0.085397,-0.313632,-0.317322,0.630954,0.0301314,-0.175471,0.14534,0.00573226,-0.065675,0.0599427,1.0008,0.996826,0,0.116821,0.00305176,0.186035,-0.588379,-0.199219,0.0273438,-0.0823975,0.0303955,0.00610352,-0.00512695,-0.00646973,0.010498,0.0163574,-0.00280762,-0.012085,0.0128174,-0.0185547,0.0233154,0.911743
0.048,0.947864,-0.702618,-0.245246,-0.0839618,0.114102,-0.0301401,-0.274274,-0.327161,0.601436,0.113436,-0.198513,0.0850769,0.0294741,-0.0844109,0.0549368,1.00203,0.989258,0,0.116943,-0.00939941,0.209229,-0.610596,-0.182739,0.0478516,-0.0657959,0.0384521,-0.000366211,0.0045166,-0.00634766,-0.0012207,0.0561523,0.0183105,-0.00830078,0.0101318,-0.0146484,0.00891113,0.911743
0.05,0.943921,-0.14352,-0.800401,-0.104773,0.0696093,0.0351635,-0.255825,-0.34561,0.601436,0.13116,-0.125843,-0.00531732,0.0263874,-0.0562336,0.0298462,1.00039,1.00977,0,0.117432,-0.00842285,0.177856,-0.562988,-0.184448,0.0078125,-0.0670166,-0.000610352,0.00927734,0.0177002,-0.0065918,0.00305176,0.00280762,-0.00354004,0.0057373,0.00939941,-0.000854492,0.0124512,0.911865
0.052,0.556732,0.444755,-1.00149,-0.0925733,-0.00430573,0.096879,-0.218928,-0.35668,0.575607,0.140022,-0.00886218,-0.13116,0.0474492,-0.0131679,-0.0342813,0.99957,0.987793,0,0.116211,-0.000976563,0.201782,-0.546631,-0.187256,0.00488281,-0.0710449,0.00390625,0.00952148,0.00842285,-0.00610352,-0.00292969,-0.0189209,-0.0289307,0.0090332,0.0252686,0.00292969,0.0223389,0.911987
0.054,-0.0528343,0.881624,-0.828789,-0.038034,-0.0710446,0.109079,-0.221387,-0.34315,0.564538,0.0478558,0.0762147,-0.124071,0.0098218,0.00517016,-0.014992,1.00121,1.01636,0,0.111572,0.00500488,0.143066,-0.541382,-0.133545,-0.00268555,-0.0219727,0.00231934,0.00842285,-0.00793457,0.00427246,-0.010498,0.0202637,-0.0057373,-0.0134277,0.00561523,-0.00915527,-0.00488281,0.912109
0.056,-0.606412,0.993601,-0.387189,0.0344459,-0.113384,0.0789384,-0.138982,-0.396037,0.53502,-0.0708974,0.173699,-0.102801,-0.0364516,0.0603144,-0.0238628,0.998751,1.00403,0,0.109009,0.00500488,0.188843,-0.545532,-0.168091,0.00219727,-0.059082,0.00720215,0.00671387,0.00476074,-0.00280762,-0.00793457,0.0267334,-0.02771,-0.00805664,0.0330811,-0.0108643,0.0251465,0.912231
0.058,-0.939978,0.711292,0.228686,0.0940085,-0.11482,0.020811,-0.0996243,-0.447695,0.547319,-0.166609,0.171926,-0.0053173,-0.0726005,0.0571068,0.0154937,0.998341,0.989014,0,0.108398,-0.00134277,0.165771,-0.563965,-0.158203,0.0136719,-0.0498047,0.0123291,-0.00964355,0.0114746,0.000488281,-0.0140381,0.0251465,-0.0217285,-0.0175781,0.0284424,-0.0170898,0.0144043,0.912109
0.06,-0.941555,0.152983,0.788572,0.121996,-0.0731975,-0.0487983,-0.0811754,-0.478443,0.559618,-0.175471,0.0903942,0.0850769,-0.0534754,0.0171968,0.0362786,1.00039,1.00195,0,0.119995,-0.000488281,0.187378,-0.559448,-0.171143,-0.0175781,-0.0511475,-0.0180664,0.00170898,0.0155029,0.00769043,0.000366211,0.0234375,-0.019043,-0.012207,0.0153809,-0.0045166,0.0157471,0.912109
0.062,-0.547269,-0.432138,0.979407,0.114102,0.00502335,-0.119125,-0.0737958,-0.491972,0.565768,-0.15243,0.0106346,0.141795,-0.0383276,0.015658,0.0226696,1.00572,0.979492,0,0.133545,0.00256348,0.182983,-0.559204,-0.205566,0.0185547,-0.0720215,0.0211182,-0.00390625,0.000976563,0.00195313,0.00732422,0.0211182,-0.0135498,0.0167236,-0.019043,0.0186768,-0.0117188,0.911987
0.064,0.0599315,-0.876892,0.816961,0.0480807,0.0696093,-0.11769,-0.034438,-0.509191,0.543629,-0.0779872,-0.108119,0.186106,-0.0299065,-0.0385092,0.0684158,0.99998,1.0072,0,0.129639,0.00756836,0.161621,-0.58667,-0.169678,0.0126953,-0.0400391,0.0202637,0.000366211,-0.0194092,0.010498,-0.000732422,-0.00463867,0.000366211,0.00402832,0.00268555,0.0145264,0.00195313,0.911865
